bert_small--encoder--jigsaw,bert_small--encoder--jigsaw--symmetric-init,bert_small--encoder--wikipedia,bert_small--encoder--wikipedia--symmetric-init,bert_small--encoder--red_pajama,bert_small--encoder--red_pajama--symmetric-init,bert--encoder--jigsaw,bert--encoder--jigsaw--symmetric-init,bert--encoder--wikipedia,bert--encoder--wikipedia--symmetric-init,bert--encoder--red_pajama,bert--encoder--red_pajama--symmetric-init
3.4397,3.3508,1.5206,1.0771,1.623,1.3221,2.1856,2.1818,0.4409,0.3945,0.4754,0.4285
3.4448,3.3557,1.5207,1.0768,1.6206,1.3188,2.1879,2.1839,0.4416,0.3956,0.4734,0.4262
3.4362,3.3499,1.5177,1.0742,1.6208,1.3189,2.1874,2.1842,0.441,0.3952,0.4749,0.4275
3.4233,3.3342,1.5136,1.071,1.6141,1.3136,2.1695,2.1659,0.4374,0.3913,0.4731,0.4264
3.4188,3.3323,1.5111,1.0709,1.6129,1.3124,2.1694,2.1673,0.4374,0.3922,0.4713,0.4254
3.4311,3.3473,1.5103,1.0702,1.6106,1.3094,2.1821,2.1814,0.4366,0.3918,0.4705,0.4237
3.4192,3.3334,1.5076,1.0671,1.6059,1.3051,2.168,2.1633,0.4356,0.3906,0.4692,0.4229
3.4094,3.324,1.5042,1.0661,1.603,1.3035,2.1553,2.1531,0.4351,0.39,0.4686,0.4222
3.4195,3.334,1.503,1.0659,1.6002,1.2989,2.173,2.1707,0.4332,0.3885,0.4669,0.4213
3.4022,3.3176,1.4977,1.0611,1.5962,1.2970000000000002,2.1638,2.1617,0.4332,0.3879,0.466,0.4213
3.404,3.3213,1.4989,1.0637,1.5939,1.2946,2.1536,2.1516,0.4329,0.3882,0.4649,0.4215
3.3949,3.3146,1.4945,1.0596,1.5935,1.294,2.1508,2.1489,0.4321,0.3875,0.4669,0.4212
3.4114,3.3268,1.4908,1.0585,1.5877,1.2884,2.1613,2.1602,0.4308,0.3868,0.4635,0.4197
3.3917,3.3101,1.4881,1.0558,1.5872,1.2881,2.1456,2.1443,0.4312,0.387,0.4646,0.4172
3.3948,3.3103,1.4863,1.0555,1.5855,1.285,2.1472,2.1449,0.43015,0.3865,0.46305,0.4172
3.3898,3.3079,1.485,1.0544,1.5819,1.2818,2.149,2.147,0.4283,0.3846,0.46235,0.4172
3.3848,3.3043,1.4814,1.0528,1.5795,1.2809,2.1417,2.1405,0.4276,0.383,0.4615,0.4161
3.3811,3.3019,1.4769,1.0501,1.5754,1.2773,2.1405,2.1395,0.42565,0.3831,0.4607,0.4151
3.3836,3.3015,1.4774,1.0523,1.574,1.2761,2.1438,2.1427,0.4285,0.3847,0.4598,0.4159
3.3832,3.3021,1.4722,1.0468,1.5745,1.2763,2.1393,2.138,0.4256,0.38205,0.459,0.4151
3.3741,3.2932,1.4703,1.0475,1.571,1.2715,2.1333,2.134,0.4244,0.3813499999999999,0.4601,0.4141
3.3709,3.2916,1.4658,1.0446,1.569,1.271,2.1359,2.1334,0.4232,0.38065,0.4579,0.4139
3.3686,3.2896,1.4648,1.0432,1.5639,1.2648,2.128,2.1262,0.4228,0.3803499999999999,0.4568,0.4118
3.3559,3.276,1.4609,1.0417,1.5635,1.2631,2.1191,2.119,0.4209,0.3786,0.4572,0.4125
3.3621,3.283,1.4571,1.0395,1.5597,1.2626,2.1233,2.1222,0.4206,0.3779,0.4554,0.4115
3.3701,3.2911,1.4564,1.0399,1.5583,1.259,2.131,2.1299,0.4209,0.3788,0.4549,0.4109
3.3508,3.2712,1.4528,1.0374,1.5537,1.2548,2.115,2.1135,0.4195,0.3778,0.453,0.4107
